"id","user","lat","long","tags","Cluster"
"21854044014","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=40ad23a63a15196ae17dddb0cdd2d429,file:sha1sig=c0a6e258ce00dfad0eedc5575ec8b8528a36840b","cluster_28"
"22288788340","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=94776875812df988f0ddd5536b9220cf,file:sha1sig=fd9ad28a5c43fe22d30789fecaa343b72b17930f","cluster_28"
"22288823190","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=f1da51787b8f9e8eed766ec248b76068,file:sha1sig=ed7ebba52184b9e2f18c698e71dd3518c3641246","cluster_28"
"22450712266","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=684cd530a462bd1187b63b0be80fe4bb,file:sha1sig=09328358df89e88fe834840fb8f23dc43f9f5f6a","cluster_28"
"22591196938","98355876@N00",45.761759,4.828695,"leica,france,35mm,nikon,frankreich,lyon,summicron,f2,d800,2015,leitz,rhônealpes,summicronr,summicronr35mmf2,leitax,l35d800,lyo15","cluster_28"
"15581442739","55607510@N04",45.761857,4.82878,"france,night,justice,nikon,lyon,lione,rhône,palais,francia,quai,notte,cour,saona,saône,néoclassique,rhônealpes,rodano,romainrolland,d7000,nikonflickraward,dappel,rodanoalpi","cluster_28"
"21749511781","115842233@N04",45.761872,4.828673,"longexposure,blue,light,building,beauty,architecture,night,noche,arch,nightshot,lyon,nacht,bluehour,nuit,notte,blauestunde,lyonbynight,horaazul","cluster_28"
"12830658604","93784836@N03",45.761539,4.828845,"street,lyon","cluster_28"
"22757902856","98355876@N00",45.761497,4.828845,"leica,france,35mm,nikon,frankreich,lyon,summicron,f2,d800,2015,leitz,rhônealpes,summicronr,summicronr35mmf2,leitax,l35d800,lyo15","cluster_28"
"14801238941","32215553@N02",45.761602,4.828931,"france,statue,palaisdejustice,rhône,nightshots,passerelle,rhônealpes,quaisdesaône,passerelledupalaisdejustice","cluster_28"
"15432094335","76675876@N00",45.761581,4.828864,"blackandwhite,bw,france,statue,nikon,lyon,noiretblanc,nb,d5100,nikond5100","cluster_28"
"15019088735","13289467@N00",45.761394,4.828669,"lyon,bleu,lightroom,fêtedeslumières,aat,colonnes,geolocation,geocity,camera:make=canon,exif:make=canon,exif:focallength=50mm,geocountry,camera:model=canoneos5d,geostate,exif:lens=ef50mmf18,exif:model=canoneos5d,exif:aperture=ƒ45,exif:isospeed=1000,geo:lat=45761394444445,geo:lon=4828669444445","cluster_28"
"12830232695","93784836@N03",45.761539,4.828673,"street,lyon","cluster_28"
"14523936938","126388212@N04",45.76161,4.828737,"lyon","cluster_28"
"14824304419","53911614@N03",45.761591,4.828721,"night,lyon,cloudy,pont,nuit,canon550d","cluster_28"
"21615380354","75906220@N07",45.761161,4.828362,"panmasala","cluster_28"
"14734489284","87978098@N02",45.760952,4.828535,"square,squareformat,iphoneography,instagramapp,xproii,uploaded:by=instagram","cluster_28"
"22591108567","98355876@N00",45.760861,4.828609,"leica,france,35mm,nikon,frankreich,lyon,summicron,f2,d800,2015,leitz,rhônealpes,summicronr,summicronr35mmf2,leitax,l35d800,lyo15","cluster_28"
"15257860089","126388212@N04",45.761595,4.828104,"lyon,hdr","cluster_28"
"15375643141","21442750@N07",45.761438,4.828147,"city,france,lyon,oldtown,vieuxlyon,rhônealpes","cluster_28"
"12670593405","68692594@N05",45.761378,4.827986,"jacquesmeynierdemalviala","cluster_28"
"22757886246","98355876@N00",45.761198,4.827997,"leica,france,35mm,nikon,frankreich,lyon,summicron,f2,d800,2015,leitz,rhônealpes,summicronr,summicronr35mmf2,leitax,l35d800,lyo15","cluster_28"
"15234482799","17727127@N00",45.760467,4.829383,"lyon,boottocht,cathédralesaintjean","cluster_28"
"15243320988","49411071@N00",45.761463,4.829197,"france,lyon","cluster_28"
"14746672696","36616854@N02",45.761567,4.829291,"rescue,man,france,men,statue,architecture,lyon,columns,burden,neoclassical,carrying,palaceofjustice,elmgreen,dragset,rhônealpes,saôneriver,weightofoneself","cluster_28"
"22089972625","41746313@N04",45.761577,4.829283,"lyon,saone","cluster_28"
"22323444990","53049330@N03",45.761602,4.829208,"france,lyon","cluster_28"
"14698783581","108855454@N07",45.76153,4.829211,"france,lyon,hiver,boulot,rhônealpes","cluster_28"
"15406857656","49411071@N00",45.761563,4.829238,"france,lyon","cluster_28"
"22353434785","20342758@N00",45.761557,4.82907,"france,statue,night,self,one,michael,october,lyon,nuit,weight,ingar,elmgreen,dragset,2015","cluster_28"
"21505760734","23062344@N07",45.761537,4.829081,"france,statue,lyon,69,rhone,sergepapin,papouli42","cluster_28"
"21561892209","16918945@N06",45.761551,4.829091,"sculpture,france,male,men,statue,lyon,guys,francia,statua,hommes,frankrig,scultura,uomini,carryingyourownweight","cluster_28"
"13388521365","29248605@N07",45.7617,4.829213,"sculpture,lyon,installation,2014,elmgreen,dragset,elmgreendragset,rivesdesaône,theweightofoneself","cluster_28"
"14561693148","10986181@N05",45.761707,4.829134,"white,black,statue,noir,lyon,nuit,blanc,nikoncoolpixp7100","cluster_28"
"14767514413","10986181@N05",45.761707,4.829134,"justice,lyon,lumière,palais,nuit,fourvière,nikoncoolpixp7100","cluster_28"
"15193307997","97624697@N06",45.761723,4.829068,"bridge,france,puente,lyon,lovelycity","cluster_28"
"15473892059","29916637@N02",45.761677,4.829081,"france,lyon,brumisateur,passerelledupalaisdejustice,lyon2014,sonyilce7r,nikkorzoom357035aipro","cluster_28"
"21901779720","41746313@N04",45.761607,4.829819,"lyon,coline,croixrousse","cluster_28"
"11967699595","65096602@N06",45.761535,4.829853,"city,longexposure,light,night,lights,justice,lyon,lumière,nuit,ville,fourvière,passerelle","cluster_28"
"15429563932","49411071@N00",45.761572,4.829861,"france,lyon","cluster_28"
"15480168649","127297316@N04",45.761588,4.830036,"bridge,france,night,river,lyon,rivière,pont,nuit,croixrousse,saône","cluster_28"
"12594598394","75906220@N07",45.761512,4.830003,"blackandwhite,soleil,lyon,noiretblanc,saône","cluster_28"
"22602569067","62387821@N00",45.76152,4.830036,"bridge,france,night,nikon,lyon,footbridge,basilica,citylights,pedestrianbridge,d700,nikond700,nikon2470mmf28,notredamedefouvière","cluster_28"
"15070586513","78873869@N03",45.761527,4.830025,"passerelledupalaisdejustice","cluster_28"
"12415860843","87978098@N02",45.761527,4.830025,"square,squareformat,iphoneography,instagramapp,xproii,uploaded:by=instagram,foursquare:venue=4c3a2a2793db0f475db02492","cluster_28"
"14763878859","58461721@N00",45.761527,4.830025,"passerelledupalaisdejustice","cluster_28"
"12187675466","94671240@N05",45.761558,4.829383,"uploaded:by=flickrmobile,flickriosapp:filter=nofilter","cluster_28"
"14749539508","23130651@N02",45.761611,4.82935,"frankrijk,fra,rhônealpes,lyon05","cluster_28"
"14913168756","23130651@N02",45.761594,4.829366,"frankrijk,fra,rhônealpes,lyon05","cluster_28"
"15041173363","127297316@N04",45.761621,4.829478,"france,night,river,lyon,rivière,pause,nuit,saône","cluster_28"
"15448191558","49848789@N06",45.761655,4.829402,"france,lyon,lione,francia,vieuxlyon,palazzodigiustizia","cluster_28"
