"Consequent","Split Value 1","Split Value 2","Split Value 3","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"lyo15","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.57182,157.18235,161.0,3.67748
"35mm","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.54307,154.30706,164.0,3.746
"frankreich","Cluster_15_presquile","franc",,22,0.50251,6.4,346.0,7.9,1.59069,159.06854,175.0,3.99726
"europ","Cluster_15_presquile","franc",,43,0.98218,12.4,346.0,7.9,1.29854,129.85363,419.0,9.57058
"europ","Cluster_15_presquile","lyon",,42,0.95934,8.4,498.0,11.4,0.88121,88.12146,419.0,9.57058
"nikon","Cluster_15_presquile","franc",,63,1.43901,18.2,346.0,7.9,2.72997,272.99667,292.0,6.66971
"nikon","Cluster_15_presquile","lyon",,65,1.4847,13.1,498.0,11.4,1.95694,195.69373,292.0,6.66971
"rhônealp","Cluster_15_presquile","franc",,89,2.03289,25.7,346.0,7.9,2.05499,205.49871,548.0,12.51713
"rhônealp","Cluster_15_presquile","lyon",,89,2.03289,17.9,498.0,11.4,1.42776,142.77621,548.0,12.51713
"lyon","Cluster_15_presquile","franc",,339,7.74326,98.0,346.0,7.9,1.22032,122.03208,3515.0,80.2878
"franc","Cluster_15_presquile","lyon",,339,7.74326,68.1,498.0,11.4,1.48417,148.41657,2008.0,45.86569
"francja","Cluster_23","franc","lyon",21,0.47967,10.7,197.0,4.5,7.07107,707.1066,66.0,1.50754
"lhc","charlemagn","Cluster_10","lyon",63,1.43901,40.1,157.0,3.6,27.88535,2788.53503,63.0,1.43901
"musé","Cluster_15_presquile","franc","lyon",45,1.02787,13.3,339.0,7.7,6.52978,652.97803,89.0,2.03289
"canoneos6d","Cluster_25","franc","lyon",34,0.77661,25.0,136.0,3.1,21.04808,2104.80769,52.0,1.18776
"natur","Cluster_25","franc","lyon",9,0.20557,6.6,136.0,3.1,4.2606,426.05969,68.0,1.55322
"eo","Cluster_25","franc","lyon",32,0.73093,23.5,136.0,3.1,20.19839,2019.83852,51.0,1.16492
"parcdelatêtedor","Cluster_25","franc","lyon",28,0.63956,20.6,136.0,3.1,7.15359,715.35948,126.0,2.87803
"oldhous","Cluster_15_presquile","franc","lyon",18,0.41115,5.3,339.0,7.7,6.28271,628.27075,37.0,0.84513
"hockey","charlemagn","Cluster_10","lyon",95,2.16994,60.5,157.0,3.6,24.99159,2499.15875,106.0,2.4212
"parc","Cluster_25","franc","lyon",62,1.41617,45.6,136.0,3.1,17.66242,1766.24154,113.0,2.58109
"canon","Cluster_25","franc","lyon",32,0.73093,23.5,136.0,3.1,11.07653,1107.65338,93.0,2.12426
"lion","charlemagn","Cluster_10","lyon",112,2.55825,71.3,157.0,3.6,16.0162,1601.62012,195.0,4.45409
"franc","charlemagn","Cluster_10","lyon",19,0.43399,12.1,157.0,3.6,0.26386,26.38554,2008.0,45.86569
"traboul","Cluster_15_presquile","franc","lyon",23,0.52535,6.8,339.0,7.7,3.5361,353.61006,84.0,1.91868
"rhonealp","Cluster_23","franc","lyon",18,0.41115,9.1,197.0,4.5,3.22597,322.59702,124.0,2.83234
"rhonealp","Cluster_15_presquile","franc","lyon",21,0.47967,6.2,339.0,7.7,2.18713,218.71253,124.0,2.83234
"night","Cluster_15_presquile","franc","lyon",30,0.68524,8.8,339.0,7.7,3.72532,372.53233,104.0,2.37551
"oldtown","Cluster_15_presquile","franc","lyon",40,0.91366,11.8,339.0,7.7,6.37751,637.75083,81.0,1.85016
"sunnyday","Cluster_15_presquile","franc","lyon",27,0.61672,8.0,339.0,7.7,4.84292,484.29204,72.0,1.64459
"d3200","Cluster_15_presquile","franc","lyon",38,0.86798,11.2,339.0,7.7,5.6408,564.07961,87.0,1.98721
"winter","Cluster_15_presquile","franc","lyon",38,0.86798,11.2,339.0,7.7,5.33423,533.42311,92.0,2.10142
"lion","Cluster_25","franc","lyon",8,0.18273,5.9,136.0,3.1,1.32066,132.06637,195.0,4.45409
"vieuxlyon","Cluster_15_presquile","franc","lyon",90,2.05573,26.5,339.0,7.7,8.07153,807.15339,144.0,3.28917
"rhone","Cluster_23","franc","lyon",13,0.29694,6.6,197.0,4.5,2.20537,220.53706,131.0,2.99223
"citi","Cluster_23","franc","lyon",14,0.31978,7.1,197.0,4.5,1.88562,188.56176,165.0,3.76884
"rhône","Cluster_25","franc","lyon",32,0.73093,23.5,136.0,3.1,4.85905,485.90455,212.0,4.84239
"europ","Cluster_25","franc","lyon",7,0.15989,5.1,136.0,3.1,0.5378,53.78001,419.0,9.57058
"rhônealp","Cluster_25","franc","lyon",43,0.98218,31.6,136.0,3.1,2.52595,252.595,548.0,12.51713
"basiliqu","Cluster_23","franc","lyon",50,1.14207,25.4,197.0,4.5,9.1832,918.32026,121.0,2.76382
"rhône","Cluster_15_presquile","franc","lyon",26,0.59388,7.7,339.0,7.7,1.58385,158.38482,212.0,4.84239
"fourvièr","Cluster_23","franc","lyon",73,1.66743,37.1,197.0,4.5,7.79954,779.95412,208.0,4.75103
"architectur","Cluster_15_presquile","franc","lyon",41,0.9365,12.1,339.0,7.7,2.97468,297.46777,178.0,4.06578
"kirch","Cluster_23","franc","lyon",28,0.63956,14.2,197.0,4.5,6.28539,628.5392,99.0,2.26131
"church","Cluster_23","franc","lyon",39,0.89082,19.8,197.0,4.5,6.19079,619.07904,140.0,3.19781
"l35d800","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"leitax","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"summicronr35mmf2","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"summicronr","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"summicron","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"leitz","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.10495,410.495,157.0,3.58611
"leica","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.07897,407.89694,158.0,3.60895
"d800","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.05332,405.33155,159.0,3.6318
"lyo15","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,4.00296,400.29637,161.0,3.67748
"35mm","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,3.92974,392.97388,164.0,3.746
"frankreich","Cluster_23","franc","lyon",29,0.6624,14.7,197.0,4.5,3.68273,368.27266,175.0,3.99726
"europ","Cluster_23","franc","lyon",15,0.34262,7.6,197.0,4.5,0.79559,79.55853,419.0,9.57058
"nikon","Cluster_23","franc","lyon",31,0.70809,15.7,197.0,4.5,2.35933,235.93283,292.0,6.66971
"rhônealp","Cluster_23","franc","lyon",60,1.37049,30.5,197.0,4.5,2.43321,243.32135,548.0,12.51713
"l35d800","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"leitax","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"summicronr35mmf2","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"summicronr","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"summicron","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"leitz","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.64515,164.51534,157.0,3.58611
"leica","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.63474,163.4741,158.0,3.60895
"d800","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.62446,162.44597,159.0,3.6318
"lyo15","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.60428,160.428,161.0,3.67748
"35mm","Cluster_15_presquile","franc","lyon",20,0.45683,5.9,339.0,7.7,1.57493,157.49334,164.0,3.746
"frankreich","Cluster_15_presquile","franc","lyon",22,0.50251,6.5,339.0,7.7,1.62353,162.35314,175.0,3.99726
"europ","Cluster_15_presquile","franc","lyon",42,0.95934,12.4,339.0,7.7,1.29453,129.45276,419.0,9.57058
"nikon","Cluster_15_presquile","franc","lyon",63,1.43901,18.6,339.0,7.7,2.78634,278.63377,292.0,6.66971
"rhônealp","Cluster_15_presquile","franc","lyon",87,1.98721,25.7,339.0,7.7,2.05029,205.02874,548.0,12.51713
